fill	x	y	showSelectedlegendfill
#000000	1.81827275212282	0.195727051766757	min
#000000	1.708642484306	-1.1087553605429	min
#000000	1.65866101678505	-1.00065642410924	min
#000000	1.61680125683511	-0.995123241844028	min
#000000	1.63737667622902	-1.81065319423307	min
#000000	1.67744381527656	-2.19016308286862	min
#000000	1.65048122380753	-1.53296204784958	min
#000000	1.62801433742922	-2.87089071893352	min
#000000	1.83743301017525	-2.91253299284	min
#000000	1.75926081062039	-2.221291897871	min
#000000	1.71292862109817	-2.71746490585292	min
#000000	1.69892391754576	-4.67850599013194	min
#000000	1.83743301017525	-0.694428755856871	min
#000000	1.75874286533891	-2.4887060208859	min
#000000	1.71292862109817	-3.44756655828744	min
#000000	1.69969364431463	-3.03711252743929	min
#000000	1.66644278137904	-3.14523459850271	min
#000000	1.65564225297093	-0.892319064459033	min
#000000	1.69019451893303	-1.85906801470729	min
#000000	1.66356896183731	-2.2936748271443	min
#000000	1.64075348118443	-3.12393425973277	min
#000000	1.65256556529519	-1.69025196858388	min
#000000	1.79404271996657	-0.552651313503626	min
#000000	1.62558767318528	-2.43732789951484	min
#000000	1.58571921956013	-1.24650632092422	min
#000000	1.68689464215417	-2.38968019772444	min
#000000	1.66064233876493	-2.6484883897754	min
#000000	1.63508591530806	-2.3724053172852	min
#000000	1.64622987198262	0.0184204002026605	min
#000000	1.83743301017525	-1.50791410241527	min
#000000	1.75770146642842	-2.24743277679978	min
#000000	1.71363144271043	-2.37206425088304	min
#000000	1.69892391754576	-3.83417364430955	min
#000000	1.66644278137904	-2.60448041546997	min
#000000	1.65564225297093	-1.4459943048256	min
#000000	1.73084936145537	-0.456570392651195	min
#000000	1.68181036945077	-0.249593970642512	min
#000000	1.62801433742922	0.552800358347374	min
#000000	1.64406148502088	1.03693235764513	min
#000000	1.83773086231239	-1.86608331902182	min
#000000	1.71363144271043	-3.28043909075932	min
#000000	1.69969364431463	-3.75967280670319	min
#000000	1.86801543418726	0.366866754402124	min
#000000	1.7952572364601	-2.52677122267308	min
#000000	1.78653041485268	-2.48507949525124	min
#000000	1.75346059894141	-1.54283966348088	min
#000000	1.69737287371485	-1.59313273785538	min
#000000	1.70718670661173	-2.44940446306835	min
#000000	1.67832688312899	-2.19619118727853	min
#000000	1.64730325573662	-3.02804730099882	min
#000000	1.62558767318528	-3.25299250641046	min
#000000	1.64730325573662	-2.57356008740172	min
#000000	1.6800782821876	-1.55537811293816	min
#000000	1.65048122380753	-3.2939813592411	min
#000000	1.62801433742922	-2.23803042702902	min
#000000	1.64075348118443	-2.78191660103197	min
#000000	1.86849049042529	-0.209014158153228	min
#000000	1.79565978525711	-2.39214832591731	min
#000000	1.78610128168745	-3.13049465952378	min
#000000	1.75346059894141	-1.34452140295471	min
#000000	1.69737287371485	-1.84438273295408	min
#000000	1.70718670661173	-2.80846111399618	min
#000000	1.81550620927658	0.915581676348721	min
#000000	1.71008457105669	-3.63809991059535	min
#000000	1.65462322824375	-3.9918703855925	min
#000000	1.62312466055847	-2.47594938802283	min
#000000	1.78949891698476	-1.20012568990971	min
#000000	1.68521817271399	-2.80291952404613	min
#000000	1.8677772718818	-0.375042703601848	min
#000000	1.79565978525711	-2.65960070611415	min
#000000	1.78523914799704	-3.56300725952017	min
#000000	1.75292181070918	-1.22464626418069	min
#000000	1.69659148379588	-3.2072009390297	min
#000000	1.70718670661173	-1.74277534284726	min
#000000	1.79606119914403	-3.01260895200294	min
#000000	1.78610128168745	-2.75947819035608	min
#000000	1.75292181070918	-2.68251717451354	min
#000000	1.69737287371485	-3.62325137989794	min
#000000	1.8677772718818	-0.0791130514813436	min
#000000	1.79606119914403	-2.92774037093759	min
#000000	1.78653041485268	-3.69650582253554	min
#000000	1.75399742772108	-1.18599501723167	min
#000000	1.69737287371485	-2.71358726473234	min
#000000	1.70718670661173	-1.57487795357263	min
#000000	1.67295269137445	-1.93245796571418	min
#000000	1.61808543795914	-0.541550885320075	min
#000000	1.57115110896884	-0.893554454081244	min
#000000	1.57614622446784	-1.41426708718344	min
#000000	1.86849049042529	-0.104674415839157	min
#000000	1.79565978525711	-3.27991181650338	min
#000000	1.78653041485268	-3.24998347971088	min
#000000	1.75346059894141	-1.95383822581102	min
#000000	1.69737287371485	-2.99287352349943	min
#000000	1.70718670661173	-1.94633156138583	min
#000000	1.83743301017525	-0.857367794556025	min
#000000	1.75874286533891	-2.82144816709766	min
#000000	1.71363144271043	-3.89247675702456	min
#000000	1.69969364431463	-3.91685756589255	min
#000000	1.66644278137904	-4.10044765141225	min
#000000	1.65564225297093	-2.83732248192517	min
#000000	1.78653041485268	-3.20180012820691	min
#000000	1.71709779320165	-3.07196385426849	min
#000000	1.66259937683199	-2.86964499843223	min
#000000	1.63040563993356	-3.56039327314244	min
#000000	1.62062427222695	-2.25237941496764	min
#000000	1.80461683184565	-1.73647457993443	min
#000000	1.708642484306	-3.48833251763619	min
#000000	1.64514931173688	-3.95388528002379	min
#000000	1.61288792166534	-0.757642527724747	min
#000000	1.82265461490958	-0.127249807002719	min
#000000	1.67386120066987	-1.61114457899738	min
#000000	1.63392835422899	-1.03500439756177	min
#000000	1.62801433742922	-2.2313447612407	min
#000000	1.64406148502088	-0.848082082525716	min
#000000	1.80943940202213	-2.06829186492337	min
#000000	1.66259937683199	-3.18744317818288	min
#000000	1.65256556529519	-3.40924421188164	min
#000000	1.61420264720442	-3.28675167502671	min
#000000	1.65462322824375	-2.90391055718995	min
#000000	1.61022686232037	-1.57943632302239	min
#000000	1.6047738008405	-3.08579967936604	min
#000000	1.80834105702874	-0.724455698560529	min
#000000	1.70791632199672	-3.63118464337722	min
#000000	1.64942884563729	-3.23190783762033	min
#000000	1.61808543795914	-2.82473882387095	min
#000000	1.60338227392527	-2.38154777630768	min
#000000	1.86658006139696	0.242810293419882	min
#000000	1.79565978525711	-2.43081278213612	min
#000000	1.78567086182247	-2.27016636775269	min
#000000	1.75238104957734	-1.23312869229902	min
#000000	1.69659148379588	-1.64518000817554	min
#000000	1.70718670661173	-2.26395485580731	min
#000000	1.82463141352458	-2.05456648069768	min
#000000	1.72314488705205	-2.76954261621229	min
#000000	1.67295269137445	-3.17484993127439	min
#000000	1.63851008693496	-3.90521042498719	min
#000000	1.62680548626165	-2.50810614102875	min
#000000	1.64186366394411	-2.85912289468316	min
#000000	1.86872738718107	-0.151892083694015	min
#000000	1.79565978525711	-2.76220949857385	min
#000000	1.75346059894141	-1.38790061346858	min
#000000	1.83008406395481	-0.539115791906612	min
#000000	1.73995613014164	-2.45019472975563	min
#000000	1.69019451893303	-2.22373860592892	min
#000000	1.66356896183731	-2.79647028371752	min
#000000	1.63963565507242	-1.92477736704864	min
#000000	1.65152676960581	-2.85362670743883	min
#000000	1.86825317323007	-2.09969755253498	min
#000000	1.79606119914403	-1.87818954840208	min
#000000	1.78653041485268	-1.40375728498398	min
#000000	1.75346059894141	-1.4271599280971	min
#000000	1.69737287371485	-2.12495668268855	min
